checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used,AUAC,Clipped_AUAC,SAUCE,Clipped_SAUCE
er_seq-cifar100_0,0,0,88.5,0.0199726946335285,0,,0,0.020158380270004272,0.019813887774944305,0.3751617670059204,0.049999698996543884
er_seq-cifar100_0,0,1,88.4,0.0198055283902213,5,0.01,10,0.020158380270004272,0.019813887774944305,0.3751617670059204,0.049999698996543884
er_seq-cifar100_0,0,2,88.4,0.0201693178657442,5,0.01,20,0.020158380270004272,0.019813887774944305,0.3751617670059204,0.049999698996543884
er_seq-cifar100_0,0,5,87.7,0.0198970347233116,5,0.01,64,0.020158380270004272,0.019813887774944305,0.3751617670059204,0.049999698996543884
er_seq-cifar100_0,0,10,88.1,0.0207460570819675,5,0.01,128,0.020158380270004272,0.019813887774944305,0.3751617670059204,0.049999698996543884
er_seq-cifar100_0,1,0,0.0,0.7087052001953125,0,,0,0.587226927280426,0.587226927280426,0.49790018796920776,0.49790018796920776
er_seq-cifar100_0,1,1,0.0,0.68183980178833,5,0.01,10,0.587226927280426,0.587226927280426,0.49790018796920776,0.49790018796920776
er_seq-cifar100_0,1,2,0.0,0.6722470531463623,5,0.01,20,0.587226927280426,0.587226927280426,0.49790018796920776,0.49790018796920776
er_seq-cifar100_0,1,5,0.0,0.5811676969528198,5,0.01,64,0.587226927280426,0.587226927280426,0.49790018796920776,0.49790018796920776
er_seq-cifar100_0,1,10,0.0,0.4667646484375,5,0.01,128,0.587226927280426,0.587226927280426,0.49790018796920776,0.49790018796920776
er_seq-cifar100_0,2,0,0.0,0.6759349765777588,0,,0,0.6504276394844055,0.6253363490104675,0.6767916083335876,0.6742928624153137
er_seq-cifar100_0,2,1,0.0,0.6591333999633789,5,0.01,10,0.6504276394844055,0.6253363490104675,0.6767916083335876,0.6742928624153137
er_seq-cifar100_0,2,2,0.0,0.6779860153198242,5,0.01,20,0.6504276394844055,0.6253363490104675,0.6767916083335876,0.6742928624153137
er_seq-cifar100_0,2,5,0.0,0.7124352779388428,5,0.01,64,0.6504276394844055,0.6253363490104675,0.6767916083335876,0.6742928624153137
er_seq-cifar100_0,2,10,0.0,0.5205848321914673,5,0.01,128,0.6504276394844055,0.6253363490104675,0.6767916083335876,0.6742928624153137
er_seq-cifar100_0,3,0,0.0,0.6990504322052002,0,,0,0.6212772727012634,0.6147175431251526,0.6233019828796387,0.5915296077728271
er_seq-cifar100_0,3,1,0.0,0.6523106689453125,5,0.01,10,0.6212772727012634,0.6147175431251526,0.6233019828796387,0.5915296077728271
er_seq-cifar100_0,3,2,0.0,0.6775689182281495,5,0.01,20,0.6212772727012634,0.6147175431251526,0.6233019828796387,0.5915296077728271
er_seq-cifar100_0,3,5,0.0,0.6560808639526368,5,0.01,64,0.6212772727012634,0.6147175431251526,0.6233019828796387,0.5915296077728271
er_seq-cifar100_0,3,10,0.0,0.4925901870727539,5,0.01,128,0.6212772727012634,0.6147175431251526,0.6233019828796387,0.5915296077728271
er_seq-cifar100_0,4,0,0.0,0.6773374710083008,0,,0,0.6606924533843994,0.6433491110801697,0.711865246295929,0.75
er_seq-cifar100_0,4,1,0.0,0.6926365966796875,5,0.01,10,0.6606924533843994,0.6433491110801697,0.711865246295929,0.75
er_seq-cifar100_0,4,2,0.0,0.6931121482849121,5,0.01,20,0.6606924533843994,0.6433491110801697,0.711865246295929,0.75
er_seq-cifar100_0,4,5,0.0,0.7089838428497315,5,0.01,64,0.6606924533843994,0.6433491110801697,0.711865246295929,0.75
er_seq-cifar100_0,4,10,0.0,0.5413839082717895,5,0.01,128,0.6606924533843994,0.6433491110801697,0.711865246295929,0.75
er_seq-cifar100_0,5,0,0.0,0.6862535991668701,0,,0,0.6179209351539612,0.6147946119308472,0.598017156124115,0.6699331402778625
er_seq-cifar100_0,5,1,0.0,0.7175170383453369,5,0.01,10,0.6179209351539612,0.6147946119308472,0.598017156124115,0.6699331402778625
er_seq-cifar100_0,5,2,0.0,0.6713890533447265,5,0.01,20,0.6179209351539612,0.6147946119308472,0.598017156124115,0.6699331402778625
er_seq-cifar100_0,5,5,0.0,0.6503499450683594,5,0.01,64,0.6179209351539612,0.6147946119308472,0.598017156124115,0.6699331402778625
er_seq-cifar100_0,5,10,0.0,0.4697549982070922,5,0.01,128,0.6179209351539612,0.6147946119308472,0.598017156124115,0.6699331402778625
er_seq-cifar100_0,6,0,0.0,0.6607951450347901,0,,0,0.6289374828338623,0.6111725568771362,0.715476393699646,0.75
er_seq-cifar100_0,6,1,0.0,0.6763980236053467,5,0.01,10,0.6289374828338623,0.6111725568771362,0.715476393699646,0.75
er_seq-cifar100_0,6,2,0.0,0.6730039100646973,5,0.01,20,0.6289374828338623,0.6111725568771362,0.715476393699646,0.75
er_seq-cifar100_0,6,5,0.0,0.6952023754119873,5,0.01,64,0.6289374828338623,0.6111725568771362,0.715476393699646,0.75
er_seq-cifar100_0,6,10,0.0,0.4623046216964722,5,0.01,128,0.6289374828338623,0.6111725568771362,0.715476393699646,0.75
er_seq-cifar100_0,7,0,0.0,0.675409912109375,0,,0,0.6712757349014282,0.6525892615318298,0.612500786781311,0.75
er_seq-cifar100_0,7,1,0.0,0.6990919647216797,5,0.01,10,0.6712757349014282,0.6525892615318298,0.612500786781311,0.75
er_seq-cifar100_0,7,2,0.0,0.7264101524353027,5,0.01,20,0.6712757349014282,0.6525892615318298,0.612500786781311,0.75
er_seq-cifar100_0,7,5,0.0,0.6907052955627442,5,0.01,64,0.6712757349014282,0.6525892615318298,0.612500786781311,0.75
er_seq-cifar100_0,7,10,0.0,0.5841273727416992,5,0.01,128,0.6712757349014282,0.6525892615318298,0.612500786781311,0.75
er_seq-cifar100_0,8,0,0.0,0.6805359764099121,0,,0,0.5891937613487244,0.5871703624725342,0.4924042522907257,0.4811602830886841
er_seq-cifar100_0,8,1,0.0,0.6217575321197509,5,0.01,10,0.5891937613487244,0.5871703624725342,0.4924042522907257,0.4811602830886841
er_seq-cifar100_0,8,2,0.0,0.6318742980957032,5,0.01,20,0.5891937613487244,0.5871703624725342,0.4924042522907257,0.4811602830886841
er_seq-cifar100_0,8,5,0.0,0.6036750411987305,5,0.01,64,0.5891937613487244,0.5871703624725342,0.4924042522907257,0.4811602830886841
er_seq-cifar100_0,8,10,0.0,0.5005852432250977,5,0.01,128,0.5891937613487244,0.5871703624725342,0.4924042522907257,0.4811602830886841
er_seq-cifar100_0,9,0,0.0,0.6728109092712402,0,,0,0.6271859407424927,0.622326135635376,0.6652268171310425,0.7217546701431274
er_seq-cifar100_0,9,1,0.0,0.6759617748260498,5,0.01,10,0.6271859407424927,0.622326135635376,0.6652268171310425,0.7217546701431274
er_seq-cifar100_0,9,2,0.0,0.6955342483520508,5,0.01,20,0.6271859407424927,0.622326135635376,0.6652268171310425,0.7217546701431274
er_seq-cifar100_0,9,5,0.0,0.6599988479614258,5,0.01,64,0.6271859407424927,0.622326135635376,0.6652268171310425,0.7217546701431274
er_seq-cifar100_0,9,10,0.0,0.4913711547851562,5,0.01,128,0.6271859407424927,0.622326135635376,0.6652268171310425,0.7217546701431274
er_seq-cifar100_1,0,0,79.5,0.1508866980075836,0,,0,0.11576482653617859,0.11576482653617859,0.3991399109363556,0.3991399109363556
er_seq-cifar100_1,0,1,78.9,0.1338519105911255,5,0.01,10,0.11576482653617859,0.11576482653617859,0.3991399109363556,0.3991399109363556
er_seq-cifar100_1,0,2,79.4,0.1334707884788513,5,0.01,20,0.11576482653617859,0.11576482653617859,0.3991399109363556,0.3991399109363556
er_seq-cifar100_1,0,5,80.80000000000001,0.1125815771818161,5,0.01,64,0.11576482653617859,0.11576482653617859,0.3991399109363556,0.3991399109363556
er_seq-cifar100_1,0,10,81.6,0.0924340361356735,5,0.01,128,0.11576482653617859,0.11576482653617859,0.3991399109363556,0.3991399109363556
er_seq-cifar100_1,1,0,86.0,0.021026414589025,0,,0,0.021510370075702667,0.02102641388773918,0.7673453688621521,0.0
er_seq-cifar100_1,1,1,85.9,0.0210633249962702,5,0.01,10,0.021510370075702667,0.02102641388773918,0.7673453688621521,0.0
er_seq-cifar100_1,1,2,85.7,0.0213896924294531,5,0.01,20,0.021510370075702667,0.02102641388773918,0.7673453688621521,0.0
er_seq-cifar100_1,1,5,85.8,0.0216512567643076,5,0.01,64,0.021510370075702667,0.02102641388773918,0.7673453688621521,0.0
er_seq-cifar100_1,1,10,85.7,0.0216571019049733,5,0.01,128,0.021510370075702667,0.02102641388773918,0.7673453688621521,0.0
er_seq-cifar100_1,2,0,0.0,0.7054807071685791,0,,0,0.6418355703353882,0.6418355703353882,0.5754533410072327,0.5754533410072327
er_seq-cifar100_1,2,1,0.0,0.6842683467864991,5,0.01,10,0.6418355703353882,0.6418355703353882,0.5754533410072327,0.5754533410072327
er_seq-cifar100_1,2,2,0.0,0.6815011730194092,5,0.01,20,0.6418355703353882,0.6418355703353882,0.5754533410072327,0.5754533410072327
er_seq-cifar100_1,2,5,0.0,0.6573564281463623,5,0.01,64,0.6418355703353882,0.6418355703353882,0.5754533410072327,0.5754533410072327
er_seq-cifar100_1,2,10,0.0,0.5555675077438355,5,0.01,128,0.6418355703353882,0.6418355703353882,0.5754533410072327,0.5754533410072327
er_seq-cifar100_1,3,0,0.0,0.7259023818969726,0,,0,0.6737307906150818,0.6560717225074768,0.3838542699813843,0.17530126869678497
er_seq-cifar100_1,3,1,0.0,0.6800907726287841,5,0.01,10,0.6737307906150818,0.6560717225074768,0.3838542699813843,0.17530126869678497
er_seq-cifar100_1,3,2,0.0,0.6748458099365234,5,0.01,20,0.6737307906150818,0.6560717225074768,0.3838542699813843,0.17530126869678497
er_seq-cifar100_1,3,5,0.0,0.6412282047271729,5,0.01,64,0.6737307906150818,0.6560717225074768,0.3838542699813843,0.17530126869678497
er_seq-cifar100_1,3,10,0.0,0.711864408493042,5,0.01,128,0.6737307906150818,0.6560717225074768,0.3838542699813843,0.17530126869678497
er_seq-cifar100_1,4,0,0.0,0.7207686901092529,0,,0,0.6428948044776917,0.6428948044776917,0.49869436025619507,0.49869436025619507
er_seq-cifar100_1,4,1,0.0,0.7094952011108399,5,0.01,10,0.6428948044776917,0.6428948044776917,0.49869436025619507,0.49869436025619507
er_seq-cifar100_1,4,2,0.0,0.7010396175384521,5,0.01,20,0.6428948044776917,0.6428948044776917,0.49869436025619507,0.49869436025619507
er_seq-cifar100_1,4,5,0.0,0.6358557300567627,5,0.01,64,0.6428948044776917,0.6428948044776917,0.49869436025619507,0.49869436025619507
er_seq-cifar100_1,4,10,0.0,0.5654265804290771,5,0.01,128,0.6428948044776917,0.6428948044776917,0.49869436025619507,0.49869436025619507
er_seq-cifar100_1,5,0,0.0,0.7185538673400879,0,,0,0.6086170673370361,0.6074748039245605,0.4291459321975708,0.42321497201919556
