checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used
der_seq-cifar100_3,3,0,83.5,0.018560285296291112,0,,0
der_seq-cifar100_3,3,1,85.3,0.01725375538505614,5,0.01,10
der_seq-cifar100_3,3,2,83.8,0.018972491931170225,5,0.01,20
der_seq-cifar100_3,3,5,83.7,0.018404711544513702,5,0.01,64
der_seq-cifar100_3,3,10,86.4,0.017071360976435242,5,0.01,128
der_seq-cifar100_3,4,0,0.0,0.2583779411315918,0,,0
der_seq-cifar100_3,4,1,2.7,0.1787985668182373,5,0.01,10
der_seq-cifar100_3,4,2,1.7000000000000002,0.17987705945968627,5,0.01,20
der_seq-cifar100_3,4,5,4.2,0.1362521080970764,5,0.01,64
der_seq-cifar100_3,4,10,11.5,0.09896017575263977,5,0.01,128
der_seq-cifar100_3,5,0,0.0,0.2808656597137451,0,,0
der_seq-cifar100_3,5,1,2.5,0.18876423120498656,5,0.01,10
der_seq-cifar100_3,5,2,2.4,0.18813123512268065,5,0.01,20
der_seq-cifar100_3,5,5,3.9,0.14205260467529296,5,0.01,64
der_seq-cifar100_3,5,10,15.9,0.09124372220039367,5,0.01,128
der_seq-cifar100_3,6,0,0.0,0.2684189519882202,0,,0
der_seq-cifar100_3,6,1,2.1,0.183950345993042,5,0.01,10
der_seq-cifar100_3,6,2,3.5999999999999996,0.17667356777191162,5,0.01,20
der_seq-cifar100_3,6,5,6.6000000000000005,0.13010606098175048,5,0.01,64
der_seq-cifar100_3,6,10,19.0,0.08980108284950257,5,0.01,128
der_seq-cifar100_3,7,0,0.0,0.2634611158370972,0,,0
der_seq-cifar100_3,7,1,6.9,0.17847549057006837,5,0.01,10
der_seq-cifar100_3,7,2,0.3,0.1915831298828125,5,0.01,20
der_seq-cifar100_3,7,5,4.8,0.13998664999008179,5,0.01,64
der_seq-cifar100_3,7,10,10.7,0.10129783749580383,5,0.01,128
der_seq-cifar100_3,8,0,0.0,0.2523269381523132,0,,0
der_seq-cifar100_3,8,1,1.0,0.18341093254089355,5,0.01,10
der_seq-cifar100_3,8,2,0.4,0.17808161640167236,5,0.01,20
der_seq-cifar100_3,8,5,1.2,0.13702950620651244,5,0.01,64
der_seq-cifar100_3,8,10,14.399999999999999,0.09538777375221252,5,0.01,128
der_seq-cifar100_3,9,0,0.0,0.28026113510131834,0,,0
