checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used,AUAC,Clipped_AUAC,SAUCE,Clipped_SAUCE
sgd_seq-cifar100_0,0,0,86.8,0.0183268985096365,0,,0,0.04793563485145569,0.017695430666208267,0.25562989711761475,0.34999966621398926
sgd_seq-cifar100_0,0,1,85.8,0.0200330251939594,10,0.1,10,0.04793563485145569,0.017695430666208267,0.25562989711761475,0.34999966621398926
sgd_seq-cifar100_0,0,2,85.7,0.0191411579018458,10,0.1,20,0.04793563485145569,0.017695430666208267,0.25562989711761475,0.34999966621398926
sgd_seq-cifar100_0,0,5,86.9,0.0173554077669978,10,0.1,64,0.04793563485145569,0.017695430666208267,0.25562989711761475,0.34999966621398926
sgd_seq-cifar100_0,0,10,26.6,0.1369823710918426,10,0.1,128,0.04793563485145569,0.017695430666208267,0.25562989711761475,0.34999966621398926
sgd_seq-cifar100_0,1,0,0.0,0.8526694259643555,0,,0,0.14726603031158447,0.13773028552532196,0.09351742267608643,0.0812634602189064
sgd_seq-cifar100_0,1,1,6.3,0.1271672005653381,10,0.1,10,0.14726603031158447,0.13773028552532196,0.09351742267608643,0.0812634602189064
sgd_seq-cifar100_0,1,2,7.8,0.1748459014892578,10,0.1,20,0.14726603031158447,0.13773028552532196,0.09351742267608643,0.0812634602189064
sgd_seq-cifar100_0,1,5,8.5,0.0958085179328918,10,0.1,64,0.14726603031158447,0.13773028552532196,0.09351742267608643,0.0812634602189064
sgd_seq-cifar100_0,1,10,16.1,0.0744929671287536,10,0.1,128,0.14726603031158447,0.13773028552532196,0.09351742267608643,0.0812634602189064
sgd_seq-cifar100_0,2,0,0.0,0.8412905826568603,0,,0,0.14900872111320496,0.14703106880187988,0.10198231041431427,0.09941693395376205
sgd_seq-cifar100_0,2,1,3.3000000000000003,0.159047607421875,10,0.1,10,0.14900872111320496,0.14703106880187988,0.10198231041431427,0.09941693395376205
sgd_seq-cifar100_0,2,2,3.9,0.1689358668327331,10,0.1,20,0.14900872111320496,0.14703106880187988,0.10198231041431427,0.09941693395376205
sgd_seq-cifar100_0,2,5,8.5,0.0991365296840667,10,0.1,64,0.14900872111320496,0.14703106880187988,0.10198231041431427,0.09941693395376205
sgd_seq-cifar100_0,2,10,25.5,0.0703905456066131,10,0.1,128,0.14900872111320496,0.14703106880187988,0.10198231041431427,0.09941693395376205
sgd_seq-cifar100_0,3,0,0.0,0.8258878059387207,0,,0,0.16810086369514465,0.156581312417984,0.11097762733697891,0.09540855884552002
sgd_seq-cifar100_0,3,1,4.5,0.1674334695339203,10,0.1,10,0.16810086369514465,0.156581312417984,0.11097762733697891,0.09540855884552002
sgd_seq-cifar100_0,3,2,6.0,0.2250311851501464,10,0.1,20,0.16810086369514465,0.156581312417984,0.11097762733697891,0.09540855884552002
sgd_seq-cifar100_0,3,5,5.1,0.1088993382453918,10,0.1,64,0.16810086369514465,0.156581312417984,0.11097762733697891,0.09540855884552002
sgd_seq-cifar100_0,3,10,10.9,0.0859886081218719,10,0.1,128,0.16810086369514465,0.156581312417984,0.11097762733697891,0.09540855884552002
sgd_seq-cifar100_0,4,0,0.0,0.8195735549926758,0,,0,0.14371943473815918,0.14337456226348877,0.08948134630918503,0.08901674300432205
sgd_seq-cifar100_0,4,1,4.5,0.1567553794384002,10,0.1,10,0.14371943473815918,0.14337456226348877,0.08948134630918503,0.08901674300432205
sgd_seq-cifar100_0,4,2,1.2,0.1584796676635742,10,0.1,20,0.14371943473815918,0.14337456226348877,0.08948134630918503,0.08901674300432205
sgd_seq-cifar100_0,4,5,11.3,0.0901108343601226,10,0.1,64,0.14371943473815918,0.14337456226348877,0.08948134630918503,0.08901674300432205
sgd_seq-cifar100_0,4,10,16.7,0.0772997679710388,10,0.1,128,0.14371943473815918,0.14337456226348877,0.08948134630918503,0.08901674300432205
sgd_seq-cifar100_0,5,0,0.0,0.8202766685485839,0,,0,0.1388203501701355,0.1388203501701355,0.0874655544757843,0.0874655544757843
sgd_seq-cifar100_0,5,1,9.5,0.1412724244594574,10,0.1,10,0.1388203501701355,0.1388203501701355,0.0874655544757843,0.0874655544757843
sgd_seq-cifar100_0,5,2,9.7,0.1394629170894623,10,0.1,20,0.1388203501701355,0.1388203501701355,0.0874655544757843,0.0874655544757843
sgd_seq-cifar100_0,5,5,12.7,0.0935271008014679,10,0.1,64,0.1388203501701355,0.1388203501701355,0.0874655544757843,0.0874655544757843
sgd_seq-cifar100_0,5,10,20.0,0.0735034184455871,10,0.1,128,0.1388203501701355,0.1388203501701355,0.0874655544757843,0.0874655544757843
sgd_seq-cifar100_0,6,0,0.0,0.7894483718872071,0,,0,0.1340586543083191,0.1340586543083191,0.08567981421947479,0.08567981421947479
sgd_seq-cifar100_0,6,1,8.5,0.1300077245235443,10,0.1,10,0.1340586543083191,0.1340586543083191,0.08567981421947479,0.08567981421947479
sgd_seq-cifar100_0,6,2,8.9,0.1299687118530273,10,0.1,20,0.1340586543083191,0.1340586543083191,0.08567981421947479,0.08567981421947479
sgd_seq-cifar100_0,6,5,12.3,0.0935774924755096,10,0.1,64,0.1340586543083191,0.1340586543083191,0.08567981421947479,0.08567981421947479
sgd_seq-cifar100_0,6,10,24.0,0.0726428959369659,10,0.1,128,0.1340586543083191,0.1340586543083191,0.08567981421947479,0.08567981421947479
sgd_seq-cifar100_0,7,0,0.0,0.793768138885498,0,,0,0.13835358619689941,0.1382896900177002,0.08164916187524796,0.08155960589647293
sgd_seq-cifar100_0,7,1,7.8,0.1268693776130676,10,0.1,10,0.13835358619689941,0.1382896900177002,0.08164916187524796,0.08155960589647293
sgd_seq-cifar100_0,7,2,8.799999999999999,0.1271889379024505,10,0.1,20,0.13835358619689941,0.1382896900177002,0.08164916187524796,0.08155960589647293
sgd_seq-cifar100_0,7,5,7.8,0.1013001005649566,10,0.1,64,0.13835358619689941,0.1382896900177002,0.08164916187524796,0.08155960589647293
sgd_seq-cifar100_0,7,10,22.2,0.0800816979408264,10,0.1,128,0.13835358619689941,0.1382896900177002,0.08164916187524796,0.08155960589647293
sgd_seq-cifar100_0,8,0,0.0,0.8291598720550537,0,,0,0.14229249954223633,0.14229249954223633,0.09300201386213303,0.09300201386213303
sgd_seq-cifar100_0,8,1,9.4,0.1664725039005279,10,0.1,10,0.14229249954223633,0.14229249954223633,0.09300201386213303,0.09300201386213303
sgd_seq-cifar100_0,8,2,2.9000000000000004,0.1408461956977844,10,0.1,20,0.14229249954223633,0.14229249954223633,0.09300201386213303,0.09300201386213303
sgd_seq-cifar100_0,8,5,12.3,0.0951311013698577,10,0.1,64,0.14229249954223633,0.14229249954223633,0.09300201386213303,0.09300201386213303
sgd_seq-cifar100_0,8,10,27.700000000000003,0.071862301826477,10,0.1,128,0.14229249954223633,0.14229249954223633,0.09300201386213303,0.09300201386213303
sgd_seq-cifar100_0,9,0,0.0,0.8129998970031739,0,,0,0.14343540370464325,0.14343540370464325,0.09818732738494873,0.09818732738494873
sgd_seq-cifar100_0,9,1,9.0,0.1702513442039489,10,0.1,10,0.14343540370464325,0.14343540370464325,0.09818732738494873,0.09818732738494873
sgd_seq-cifar100_0,9,2,3.7,0.1391921889781951,10,0.1,20,0.14343540370464325,0.14343540370464325,0.09818732738494873,0.09818732738494873
sgd_seq-cifar100_0,9,5,7.000000000000001,0.1007203764915466,10,0.1,64,0.14343540370464325,0.14343540370464325,0.09818732738494873,0.09818732738494873
sgd_seq-cifar100_0,9,10,26.3,0.0705347356796264,10,0.1,128,0.14343540370464325,0.14343540370464325,0.09818732738494873,0.09818732738494873
sgd_seq-cifar100_1,0,0,45.0,0.5855877943038941,0,,0,0.17041561007499695,0.10450918227434158,0.21355396509170532,0.08870978653430939
sgd_seq-cifar100_1,0,1,43.8,0.1257959764003753,10,0.1,10,0.17041561007499695,0.10450918227434158,0.21355396509170532,0.08870978653430939
sgd_seq-cifar100_1,0,2,46.7,0.1355564079284668,10,0.1,20,0.17041561007499695,0.10450918227434158,0.21355396509170532,0.08870978653430939
sgd_seq-cifar100_1,0,5,57.99999999999999,0.0576784569025039,10,0.1,64,0.17041561007499695,0.10450918227434158,0.21355396509170532,0.08870978653430939
sgd_seq-cifar100_1,0,10,26.200000000000003,0.3134957752227783,10,0.1,128,0.17041561007499695,0.10450918227434158,0.21355396509170532,0.08870978653430939
sgd_seq-cifar100_1,1,0,87.5,0.0174183309152722,0,,0,0.30783921480178833,0.017418330535292625,0.2503852844238281,0.0
sgd_seq-cifar100_1,1,1,87.2,0.018515185765922,10,0.1,10,0.30783921480178833,0.017418330535292625,0.2503852844238281,0.0
sgd_seq-cifar100_1,1,2,87.0,0.0184359961152076,10,0.1,20,0.30783921480178833,0.017418330535292625,0.2503852844238281,0.0
sgd_seq-cifar100_1,1,5,86.5,0.0177525148317217,10,0.1,64,0.30783921480178833,0.017418330535292625,0.2503852844238281,0.0
sgd_seq-cifar100_1,1,10,19.3,1.1773143367767334,10,0.1,128,0.30783921480178833,0.017418330535292625,0.2503852844238281,0.0
sgd_seq-cifar100_1,2,0,0.0,0.7346782302856445,0,,0,0.14366213977336884,0.14366213977336884,0.11524767428636551,0.11524767428636551
sgd_seq-cifar100_1,2,1,2.9000000000000004,0.1821797661781311,10,0.1,10,0.14366213977336884,0.14366213977336884,0.11524767428636551,0.11524767428636551
sgd_seq-cifar100_1,2,2,2.1,0.1405400867462158,10,0.1,20,0.14366213977336884,0.14366213977336884,0.11524767428636551,0.11524767428636551
sgd_seq-cifar100_1,2,5,5.6000000000000005,0.1098327596187591,10,0.1,64,0.14366213977336884,0.14366213977336884,0.11524767428636551,0.11524767428636551
sgd_seq-cifar100_1,2,10,26.1,0.06667649269104,10,0.1,128,0.14366213977336884,0.14366213977336884,0.11524767428636551,0.11524767428636551
sgd_seq-cifar100_1,3,0,0.0,0.7776100025177002,0,,0,0.1514519453048706,0.1514519453048706,0.11255957186222076,0.11255957186222076
sgd_seq-cifar100_1,3,1,2.3,0.1613626856803894,10,0.1,10,0.1514519453048706,0.1514519453048706,0.11255957186222076,0.11255957186222076
sgd_seq-cifar100_1,3,2,2.1,0.1562786388397216,10,0.1,20,0.1514519453048706,0.1514519453048706,0.11255957186222076,0.11255957186222076
