checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,layer_min,num_examples_used,AUAC,Clipped_AUAC,SAUCE,Clipped_SAUCE
sgd_smooth-rot-mnist_0,0,0,98.1818181818182,0.0010597770165821,0,,,0,0.0017172417137771845,0.0010106679983437061,0.25601884722709656,0.2572738230228424
sgd_smooth-rot-mnist_0,0,1,98.4090909090909,0.0010421164090406,10,0.05,0.0,10,0.0017172417137771845,0.0010106679983437061,0.25601884722709656,0.2572738230228424
sgd_smooth-rot-mnist_0,0,2,98.1818181818182,0.0010379530701108,10,0.05,0.0,20,0.0017172417137771845,0.0010106679983437061,0.25601884722709656,0.2572738230228424
sgd_smooth-rot-mnist_0,0,5,97.72727272727272,0.0009936565998941,10,0.05,0.0,64,0.0017172417137771845,0.0010106679983437061,0.25601884722709656,0.2572738230228424
sgd_smooth-rot-mnist_0,0,10,92.27272727272728,0.0038199518553235,10,0.05,0.0,128,0.0017172417137771845,0.0010106679983437061,0.25601884722709656,0.2572738230228424
sgd_smooth-rot-mnist_0,1,0,86.36363636363636,0.0069031746211377,0,,,0,0.028500884771347046,0.005220725201070309,0.263496458530426,0.1499999314546585
sgd_smooth-rot-mnist_0,1,1,86.5909090909091,0.0075185068629004,10,0.05,0.0,10,0.028500884771347046,0.005220725201070309,0.263496458530426,0.1499999314546585
sgd_smooth-rot-mnist_0,1,2,89.31818181818181,0.0049238220534541,10,0.05,0.0,20,0.028500884771347046,0.005220725201070309,0.263496458530426,0.1499999314546585
sgd_smooth-rot-mnist_0,1,5,86.13636363636363,0.0070468075234781,10,0.05,0.0,64,0.028500884771347046,0.005220725201070309,0.263496458530426,0.1499999314546585
sgd_smooth-rot-mnist_0,1,10,30.227272727272727,0.0944015515121546,10,0.05,0.0,128,0.028500884771347046,0.005220725201070309,0.263496458530426,0.1499999314546585
sgd_smooth-rot-mnist_0,2,0,45.909090909090914,0.0320346629077738,0,,,0,0.017796099185943604,0.017658693715929985,0.22607555985450745,0.21860703825950623
sgd_smooth-rot-mnist_0,2,1,56.59090909090909,0.0261209454048763,10,0.05,0.0,10,0.017796099185943604,0.017658693715929985,0.22607555985450745,0.21860703825950623
sgd_smooth-rot-mnist_0,2,2,56.13636363636364,0.0229047665541822,10,0.05,0.0,20,0.017796099185943604,0.017658693715929985,0.22607555985450745,0.21860703825950623
sgd_smooth-rot-mnist_0,2,5,75.9090909090909,0.0136367895894429,10,0.05,0.0,64,0.017796099185943604,0.017658693715929985,0.22607555985450745,0.21860703825950623
sgd_smooth-rot-mnist_0,2,10,74.31818181818181,0.0141864097253842,10,0.05,0.0,128,0.017796099185943604,0.017658693715929985,0.22607555985450745,0.21860703825950623
sgd_smooth-rot-mnist_0,3,0,17.727272727272727,0.0617702153596011,0,,,0,0.03160353749990463,0.025047920644283295,0.3579718768596649,0.25128212571144104
sgd_smooth-rot-mnist_0,3,1,23.18181818181818,0.06546550989151,10,0.05,0.0,10,0.03160353749990463,0.025047920644283295,0.3579718768596649,0.25128212571144104
sgd_smooth-rot-mnist_0,3,2,40.909090909090914,0.0375611792911182,10,0.05,0.0,20,0.03160353749990463,0.025047920644283295,0.3579718768596649,0.25128212571144104
sgd_smooth-rot-mnist_0,3,5,75.0,0.0127233100039037,10,0.05,0.0,64,0.03160353749990463,0.025047920644283295,0.3579718768596649,0.25128212571144104
sgd_smooth-rot-mnist_0,3,10,48.40909090909091,0.037467652152885,10,0.05,0.0,128,0.03160353749990463,0.025047920644283295,0.3579718768596649,0.25128212571144104
sgd_smooth-rot-mnist_0,4,0,11.818181818181818,0.0754168076948686,0,,,0,0.03371763974428177,0.025666192173957825,0.29432186484336853,0.15806666016578674
sgd_smooth-rot-mnist_0,4,1,34.77272727272727,0.0437064094976945,10,0.05,0.0,10,0.03371763974428177,0.025666192173957825,0.29432186484336853,0.15806666016578674
sgd_smooth-rot-mnist_0,4,2,40.0,0.0345644159750504,10,0.05,0.0,20,0.03371763974428177,0.025666192173957825,0.29432186484336853,0.15806666016578674
sgd_smooth-rot-mnist_0,4,5,68.63636363636364,0.0163258872248909,10,0.05,0.0,64,0.03371763974428177,0.025666192173957825,0.29432186484336853,0.15806666016578674
sgd_smooth-rot-mnist_0,4,10,41.13636363636364,0.048531671274792,10,0.05,0.0,128,0.03371763974428177,0.025666192173957825,0.29432186484336853,0.15806666016578674
sgd_smooth-rot-mnist_0,5,0,13.40909090909091,0.071731520240957,0,,,0,0.02640126831829548,0.025207869708538055,0.19778858125209808,0.17666897177696228
sgd_smooth-rot-mnist_0,5,1,31.13636363636364,0.0422576942227103,10,0.05,0.0,10,0.02640126831829548,0.025207869708538055,0.19778858125209808,0.17666897177696228
sgd_smooth-rot-mnist_0,5,2,41.590909090909086,0.0374966825612566,10,0.05,0.0,20,0.02640126831829548,0.025207869708538055,0.19778858125209808,0.17666897177696228
sgd_smooth-rot-mnist_0,5,5,69.0909090909091,0.0152249048379334,10,0.05,0.0,64,0.02640126831829548,0.025207869708538055,0.19778858125209808,0.17666897177696228
sgd_smooth-rot-mnist_0,5,10,68.86363636363636,0.0199984962289983,10,0.05,0.0,128,0.02640126831829548,0.025207869708538055,0.19778858125209808,0.17666897177696228
sgd_smooth-rot-mnist_0,6,0,14.545454545454543,0.0668975735252553,0,,,0,0.029948502779006958,0.028370916843414307,0.2343844175338745,0.211694598197937
sgd_smooth-rot-mnist_0,6,1,24.545454545454547,0.0688971554691141,10,0.05,0.0,10,0.029948502779006958,0.028370916843414307,0.2343844175338745,0.211694598197937
sgd_smooth-rot-mnist_0,6,2,40.68181818181818,0.0331007421694018,10,0.05,0.0,20,0.029948502779006958,0.028370916843414307,0.2343844175338745,0.211694598197937
sgd_smooth-rot-mnist_0,6,5,62.95454545454545,0.0180248209021308,10,0.05,0.0,64,0.029948502779006958,0.028370916843414307,0.2343844175338745,0.211694598197937
sgd_smooth-rot-mnist_0,6,10,62.27272727272727,0.0235353297807953,10,0.05,0.0,128,0.029948502779006958,0.028370916843414307,0.2343844175338745,0.211694598197937
sgd_smooth-rot-mnist_0,7,0,30.0,0.063943090763959,0,,,0,0.019434571266174316,0.019434571266174316,0.19125811755657196,0.19125811755657196
sgd_smooth-rot-mnist_0,7,1,35.68181818181818,0.0350228902968493,10,0.05,0.0,10,0.019434571266174316,0.019434571266174316,0.19125811755657196,0.19125811755657196
sgd_smooth-rot-mnist_0,7,2,45.0,0.0269977535713802,10,0.05,0.0,20,0.019434571266174316,0.019434571266174316,0.19125811755657196,0.19125811755657196
sgd_smooth-rot-mnist_0,7,5,75.45454545454545,0.0127709283747456,10,0.05,0.0,64,0.019434571266174316,0.019434571266174316,0.19125811755657196,0.19125811755657196
sgd_smooth-rot-mnist_0,7,10,84.54545454545455,0.0089088207957419,10,0.05,0.0,128,0.019434571266174316,0.019434571266174316,0.19125811755657196,0.19125811755657196
sgd_smooth-rot-mnist_0,8,0,38.18181818181819,0.062936400825327,0,,,0,0.020706528797745705,0.020706528797745705,0.18221989274024963,0.18221989274024963
sgd_smooth-rot-mnist_0,8,1,43.18181818181818,0.0303640043193643,10,0.05,0.0,10,0.020706528797745705,0.020706528797745705,0.18221989274024963,0.18221989274024963
sgd_smooth-rot-mnist_0,8,2,47.04545454545455,0.0291200261224399,10,0.05,0.0,20,0.020706528797745705,0.020706528797745705,0.18221989274024963,0.18221989274024963
sgd_smooth-rot-mnist_0,8,5,70.45454545454545,0.014687782627615,10,0.05,0.0,64,0.020706528797745705,0.020706528797745705,0.18221989274024963,0.18221989274024963
sgd_smooth-rot-mnist_0,8,10,80.45454545454545,0.0112967579879544,10,0.05,0.0,128,0.020706528797745705,0.020706528797745705,0.18221989274024963,0.18221989274024963
sgd_smooth-rot-mnist_0,9,0,39.31818181818182,0.063381825658408,0,,,0,0.021326415240764618,0.021326415240764618,0.16104546189308167,0.16104546189308167
sgd_smooth-rot-mnist_0,9,1,46.590909090909086,0.0331813980232585,10,0.05,0.0,10,0.021326415240764618,0.021326415240764618,0.16104546189308167,0.16104546189308167
sgd_smooth-rot-mnist_0,9,2,49.09090909090909,0.0300794274969534,10,0.05,0.0,20,0.021326415240764618,0.021326415240764618,0.16104546189308167,0.16104546189308167
sgd_smooth-rot-mnist_0,9,5,71.36363636363636,0.0137748237360607,10,0.05,0.0,64,0.021326415240764618,0.021326415240764618,0.16104546189308167,0.16104546189308167
sgd_smooth-rot-mnist_0,9,10,77.95454545454545,0.0132534685290672,10,0.05,0.0,128,0.021326415240764618,0.021326415240764618,0.16104546189308167,0.16104546189308167
sgd_smooth-rot-mnist_0,10,0,37.5,0.0601604309949007,0,,,0,0.02288910374045372,0.02288910374045372,0.21467547118663788,0.21467547118663788
sgd_smooth-rot-mnist_0,10,1,39.54545454545455,0.044226541573351,10,0.05,0.0,10,0.02288910374045372,0.02288910374045372,0.21467547118663788,0.21467547118663788
sgd_smooth-rot-mnist_0,10,2,47.95454545454545,0.0309121489524841,10,0.05,0.0,20,0.02288910374045372,0.02288910374045372,0.21467547118663788,0.21467547118663788
sgd_smooth-rot-mnist_0,10,5,69.77272727272728,0.0152520869265903,10,0.05,0.0,64,0.02288910374045372,0.02288910374045372,0.21467547118663788,0.21467547118663788
sgd_smooth-rot-mnist_0,10,10,77.04545454545455,0.012700655920939,10,0.05,0.0,128,0.02288910374045372,0.02288910374045372,0.21467547118663788,0.21467547118663788
sgd_smooth-rot-mnist_0,11,0,26.590909090909093,0.0625619343735955,0,,,0,0.026968786492943764,0.026968786492943764,0.293382465839386,0.293382465839386
sgd_smooth-rot-mnist_0,11,1,22.045454545454547,0.0587270324880426,10,0.05,0.0,10,0.026968786492943764,0.026968786492943764,0.293382465839386,0.293382465839386
sgd_smooth-rot-mnist_0,11,2,29.09090909090909,0.0417785397984764,10,0.05,0.0,20,0.026968786492943764,0.026968786492943764,0.293382465839386,0.293382465839386
sgd_smooth-rot-mnist_0,11,5,67.27272727272727,0.0164114647968248,10,0.05,0.0,64,0.026968786492943764,0.026968786492943764,0.293382465839386,0.293382465839386
sgd_smooth-rot-mnist_0,11,10,78.4090909090909,0.0121907691386612,10,0.05,0.0,128,0.026968786492943764,0.026968786492943764,0.293382465839386,0.293382465839386
sgd_smooth-rot-mnist_0,12,0,14.545454545454543,0.0666962626305493,0,,,0,0.02410159632563591,0.02410159632563591,0.20954079926013947,0.20954079926013947
sgd_smooth-rot-mnist_0,12,1,37.04545454545455,0.0392361388965086,10,0.05,0.0,10,0.02410159632563591,0.02410159632563591,0.20954079926013947,0.20954079926013947
sgd_smooth-rot-mnist_0,12,2,43.40909090909091,0.031945316222581,10,0.05,0.0,20,0.02410159632563591,0.02410159632563591,0.20954079926013947,0.20954079926013947
sgd_smooth-rot-mnist_0,12,5,63.63636363636363,0.0181288320571184,10,0.05,0.0,64,0.02410159632563591,0.02410159632563591,0.20954079926013947,0.20954079926013947
sgd_smooth-rot-mnist_0,12,10,79.31818181818183,0.0128102833405137,10,0.05,0.0,128,0.02410159632563591,0.02410159632563591,0.20954079926013947,0.20954079926013947
sgd_smooth-rot-mnist_0,13,0,18.63636363636364,0.0714685039086775,0,,,0,0.030168041586875916,0.02952352911233902,0.2982756495475769,0.31902262568473816
sgd_smooth-rot-mnist_0,13,1,19.090909090909093,0.0779136468063701,10,0.05,0.0,10,0.030168041586875916,0.02952352911233902,0.2982756495475769,0.31902262568473816
sgd_smooth-rot-mnist_0,13,2,26.13636363636364,0.0490280533378774,10,0.05,0.0,20,0.030168041586875916,0.02952352911233902,0.2982756495475769,0.31902262568473816
sgd_smooth-rot-mnist_0,13,5,68.86363636363636,0.0163233250379562,10,0.05,0.0,64,0.030168041586875916,0.02952352911233902,0.2982756495475769,0.31902262568473816
sgd_smooth-rot-mnist_0,13,10,83.4090909090909,0.0098732478239319,10,0.05,0.0,128,0.030168041586875916,0.02952352911233902,0.2982756495475769,0.31902262568473816
sgd_smooth-rot-mnist_0,14,0,11.59090909090909,0.0763778567314148,0,,,0,0.023449156433343887,0.023449156433343887,0.20106105506420135,0.20106105506420135
sgd_smooth-rot-mnist_0,14,1,28.40909090909091,0.0410846642472527,10,0.05,0.0,10,0.023449156433343887,0.023449156433343887,0.20106105506420135,0.20106105506420135
sgd_smooth-rot-mnist_0,14,2,38.86363636363636,0.0321095791730013,10,0.05,0.0,20,0.023449156433343887,0.023449156433343887,0.20106105506420135,0.20106105506420135
sgd_smooth-rot-mnist_0,14,5,70.45454545454545,0.0164190018718892,10,0.05,0.0,64,0.023449156433343887,0.023449156433343887,0.20106105506420135,0.20106105506420135
