checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used,AUAC,Clipped_AUAC,SAUCE,Clipped_SAUCE
ewc-on_seq-cifar100_0,0,0,82.6,0.0347740960270166,0,,0,0.023748835548758507,0.022951461374759674,0.18648971617221832,0.12765470147132874
ewc-on_seq-cifar100_0,0,1,84.39999999999999,0.0251518066562712,5,0.01,10,0.023748835548758507,0.022951461374759674,0.18648971617221832,0.12765470147132874
ewc-on_seq-cifar100_0,0,2,84.6,0.0245183458924293,5,0.01,20,0.023748835548758507,0.022951461374759674,0.18648971617221832,0.12765470147132874
ewc-on_seq-cifar100_0,0,5,85.3,0.0212213966101408,5,0.01,64,0.023748835548758507,0.022951461374759674,0.18648971617221832,0.12765470147132874
ewc-on_seq-cifar100_0,0,10,83.89999999999999,0.0244108910188078,5,0.01,128,0.023748835548758507,0.022951461374759674,0.18648971617221832,0.12765470147132874
ewc-on_seq-cifar100_0,1,0,0.0,1.2134759330749512,0,,0,0.5122697353363037,0.5026012659072876,0.22532838582992554,0.21464698016643524
ewc-on_seq-cifar100_0,1,1,0.0,0.5850128479003907,5,0.01,10,0.5122697353363037,0.5026012659072876,0.22532838582992554,0.21464698016643524
ewc-on_seq-cifar100_0,1,2,0.0,0.6333550720214843,5,0.01,20,0.5122697353363037,0.5026012659072876,0.22532838582992554,0.21464698016643524
ewc-on_seq-cifar100_0,1,5,0.0,0.4733652391433716,5,0.01,64,0.5122697353363037,0.5026012659072876,0.22532838582992554,0.21464698016643524
ewc-on_seq-cifar100_0,1,10,0.0,0.3083102278709411,5,0.01,128,0.5122697353363037,0.5026012659072876,0.22532838582992554,0.21464698016643524
ewc-on_seq-cifar100_0,2,0,0.0,1.1878171043395995,0,,0,0.45712924003601074,0.45609748363494873,0.19150568544864655,0.1903640329837799
ewc-on_seq-cifar100_0,2,1,0.0,0.6056689758300782,5,0.01,10,0.45712924003601074,0.45609748363494873,0.19150568544864655,0.1903640329837799
ewc-on_seq-cifar100_0,2,2,0.0,0.6108278789520264,5,0.01,20,0.45712924003601074,0.45609748363494873,0.19150568544864655,0.1903640329837799
ewc-on_seq-cifar100_0,2,5,0.0,0.3599814329147339,5,0.01,64,0.45712924003601074,0.45609748363494873,0.19150568544864655,0.1903640329837799
ewc-on_seq-cifar100_0,2,10,0.0,0.2840533556938171,5,0.01,128,0.45712924003601074,0.45609748363494873,0.19150568544864655,0.1903640329837799
ewc-on_seq-cifar100_0,3,0,0.0,1.1278825531005858,0,,0,0.4240560531616211,0.4240560531616211,0.19095177948474884,0.19095177948474884
ewc-on_seq-cifar100_0,3,1,0.0,0.5658056945800781,5,0.01,10,0.4240560531616211,0.4240560531616211,0.19095177948474884,0.19095177948474884
ewc-on_seq-cifar100_0,3,2,0.0,0.4922614870071411,5,0.01,20,0.4240560531616211,0.4240560531616211,0.19095177948474884,0.19095177948474884
ewc-on_seq-cifar100_0,3,5,0.0,0.3703608884811401,5,0.01,64,0.4240560531616211,0.4240560531616211,0.19095177948474884,0.19095177948474884
ewc-on_seq-cifar100_0,3,10,0.0,0.2579386920928955,5,0.01,128,0.4240560531616211,0.4240560531616211,0.19095177948474884,0.19095177948474884
ewc-on_seq-cifar100_0,4,0,0.0,1.1492045097351071,0,,0,0.4145834445953369,0.4145834445953369,0.16924631595611572,0.16924631595611572
ewc-on_seq-cifar100_0,4,1,0.0,0.5865998649597168,5,0.01,10,0.4145834445953369,0.4145834445953369,0.16924631595611572,0.16924631595611572
ewc-on_seq-cifar100_0,4,2,0.0,0.5016198596954345,5,0.01,20,0.4145834445953369,0.4145834445953369,0.16924631595611572,0.16924631595611572
ewc-on_seq-cifar100_0,4,5,0.0,0.3297719039916992,5,0.01,64,0.4145834445953369,0.4145834445953369,0.16924631595611572,0.16924631595611572
ewc-on_seq-cifar100_0,4,10,0.0,0.2649218063354492,5,0.01,128,0.4145834445953369,0.4145834445953369,0.16924631595611572,0.16924631595611572
ewc-on_seq-cifar100_0,5,0,0.0,1.1511450099945069,0,,0,0.4367445707321167,0.4367445707321167,0.19528493285179138,0.19528493285179138
ewc-on_seq-cifar100_0,5,1,0.0,0.6770544662475586,5,0.01,10,0.4367445707321167,0.4367445707321167,0.19528493285179138,0.19528493285179138
ewc-on_seq-cifar100_0,5,2,0.0,0.5521973171234131,5,0.01,20,0.4367445707321167,0.4367445707321167,0.19528493285179138,0.19528493285179138
ewc-on_seq-cifar100_0,5,5,0.0,0.3379954652786255,5,0.01,64,0.4367445707321167,0.4367445707321167,0.19528493285179138,0.19528493285179138
ewc-on_seq-cifar100_0,5,10,0.0,0.2633767886161804,5,0.01,128,0.4367445707321167,0.4367445707321167,0.19528493285179138,0.19528493285179138
ewc-on_seq-cifar100_0,6,0,0.0,1.1146123657226563,0,,0,0.44996315240859985,0.44996315240859985,0.21038177609443665,0.21038177609443665
ewc-on_seq-cifar100_0,6,1,0.0,0.5763141603469849,5,0.01,10,0.44996315240859985,0.44996315240859985,0.21038177609443665,0.21038177609443665
ewc-on_seq-cifar100_0,6,2,0.0,0.5368698320388794,5,0.01,20,0.44996315240859985,0.44996315240859985,0.21038177609443665,0.21038177609443665
ewc-on_seq-cifar100_0,6,5,0.0,0.4025194416046143,5,0.01,64,0.44996315240859985,0.44996315240859985,0.21038177609443665,0.21038177609443665
ewc-on_seq-cifar100_0,6,10,0.0,0.2728774638175964,5,0.01,128,0.44996315240859985,0.44996315240859985,0.21038177609443665,0.21038177609443665
ewc-on_seq-cifar100_0,7,0,0.0,1.1096329479217528,0,,0,0.45784202218055725,0.4498934745788574,0.1735764443874359,0.16349823772907257
ewc-on_seq-cifar100_0,7,1,0.0,0.6585950374603271,5,0.01,10,0.45784202218055725,0.4498934745788574,0.1735764443874359,0.16349823772907257
ewc-on_seq-cifar100_0,7,2,0.0,0.5996927604675293,5,0.01,20,0.45784202218055725,0.4498934745788574,0.1735764443874359,0.16349823772907257
ewc-on_seq-cifar100_0,7,5,0.0,0.3209442119598388,5,0.01,64,0.45784202218055725,0.4498934745788574,0.1735764443874359,0.16349823772907257
ewc-on_seq-cifar100_0,7,10,0.0,0.3527384996414184,5,0.01,128,0.45784202218055725,0.4498934745788574,0.1735764443874359,0.16349823772907257
ewc-on_seq-cifar100_0,8,0,0.0,1.1951805229187011,0,,0,0.4446295201778412,0.4446295201778412,0.1842430979013443,0.1842430979013443
ewc-on_seq-cifar100_0,8,1,0.0,0.6713156623840332,5,0.01,10,0.4446295201778412,0.4446295201778412,0.1842430979013443,0.1842430979013443
ewc-on_seq-cifar100_0,8,2,0.0,0.5886450920104981,5,0.01,20,0.4446295201778412,0.4446295201778412,0.1842430979013443,0.1842430979013443
